"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"CycD_1",0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024,0.5024
"Rb_1",0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976
"E2F_1",0.0325,0.0500666666666667,0.0676333333333333,0.0852,0.102766666666667,0.120333333333333,0.1379,0.163416666666667,0.188933333333333,0.21445,0.239966666666667,0.265483333333333,0.291,0.315466666666667,0.339933333333333,0.3644,0.388866666666667,0.413333333333333,0.4378,0.4243,0.4108,0.3973,0.3838,0.3703,0.3568,0.332116666666667,0.307433333333333,0.28275,0.258066666666667,0.233383333333333,0.2087,0.1796,0.1505,0.1214,0.0923,0.0632,0.0341,0.0352333333333333,0.0363666666666667,0.0375,0.0386333333333333,0.0397666666666667,0.0409
"CycE_1",0.122,0.145083333333333,0.168166666666667,0.19125,0.214333333333333,0.237416666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331,0.311083333333333,0.289066666666667,0.26705,0.245033333333333,0.223016666666667,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352
"CycE_2",0.0639,0.0757833333333333,0.0876666666666667,0.09955,0.111433333333333,0.123316666666667,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331,0.311083333333333,0.289066666666667,0.26705,0.245033333333333,0.223016666666667,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332
"CycA_1",0.2447,0.276883333333333,0.309066666666667,0.34125,0.373433333333333,0.405616666666667,0.4378,0.4243,0.4108,0.3973,0.3838,0.3703,0.3568,0.332116666666667,0.307433333333333,0.28275,0.258066666666667,0.233383333333333,0.2087,0.1796,0.1505,0.1214,0.0923,0.0632,0.0341,0.0352333333333333,0.0363666666666667,0.0375,0.0386333333333333,0.0397666666666667,0.0409,0.0570666666666667,0.0732333333333333,0.0894,0.105566666666667,0.121733333333333,0.1379,0.163416666666667,0.188933333333333,0.21445,0.239966666666667,0.265483333333333,0.291
"CycA_2",0.2468,0.261183333333333,0.275566666666667,0.28995,0.304333333333333,0.318716666666667,0.3331,0.311083333333333,0.289066666666667,0.26705,0.245033333333333,0.223016666666667,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605
"CycA_3",0.251,0.242666666666667,0.234333333333333,0.226,0.217666666666667,0.209333333333333,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331
"CycA_4",0.2583,0.21525,0.1722,0.12915,0.0861,0.04305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p27_1",0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976
"Cdc20_1",0.0659,0.06015,0.0544,0.04865,0.0429,0.03715,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331,0.311083333333333,0.289066666666667,0.26705,0.245033333333333,0.223016666666667,0.201
"Cdc20_2",0.1263,0.1092,0.0921,0.075,0.0579,0.0408,0.0237,0.0210333333333333,0.0183666666666667,0.0157,0.0130333333333333,0.0103666666666667,0.0077,0.00686666666666667,0.00603333333333333,0.0052,0.00436666666666667,0.00353333333333333,0.0027,0.00733333333333333,0.0119666666666667,0.0166,0.0212333333333333,0.0258666666666667,0.0305,0.0428666666666667,0.0552333333333333,0.0676,0.0799666666666667,0.0923333333333333,0.1047,0.113216666666667,0.121733333333333,0.13025,0.138766666666667,0.147283333333333,0.1558,0.159383333333333,0.162966666666667,0.16655,0.170133333333333,0.173716666666667,0.1773
"Cdc20_3",0.0649,0.0540833333333333,0.0432666666666667,0.03245,0.0216333333333333,0.0108166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdh1_1",0.1282,0.1311,0.134,0.1369,0.1398,0.1427,0.1456,0.170283333333333,0.194966666666667,0.21965,0.244333333333333,0.269016666666667,0.2937,0.3228,0.3519,0.381,0.4101,0.4392,0.4683,0.467166666666667,0.466033333333333,0.4649,0.463766666666667,0.462633333333333,0.4615,0.445333333333333,0.429166666666667,0.413,0.396833333333333,0.380666666666667,0.3645,0.338983333333333,0.313466666666667,0.28795,0.262433333333333,0.236916666666667,0.2114,0.186933333333333,0.162466666666667,0.138,0.113533333333333,0.0890666666666667,0.0646
"Cdh1_2",0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976,0.4976
"UbcH10_1",0.131,0.11485,0.0987,0.08255,0.0664,0.05025,0.0341,0.0352333333333333,0.0363666666666667,0.0375,0.0386333333333333,0.0397666666666667,0.0409,0.0570666666666667,0.0732333333333333,0.0894,0.105566666666667,0.121733333333333,0.1379,0.163416666666667,0.188933333333333,0.21445,0.239966666666667,0.265483333333333,0.291,0.315466666666667,0.339933333333333,0.3644,0.388866666666667,0.413333333333333,0.4378,0.4243,0.4108,0.3973,0.3838,0.3703,0.3568,0.332116666666667,0.307433333333333,0.28275,0.258066666666667,0.233383333333333,0.2087
"UbcH10_2",0.251,0.242666666666667,0.234333333333333,0.226,0.217666666666667,0.209333333333333,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331
"UbcH10_3",0.1282,0.106833333333333,0.0854666666666667,0.0641,0.0427333333333333,0.0213666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CycB_1",0.1282,0.106833333333333,0.0854666666666667,0.0641,0.0427333333333333,0.0213666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CycB_2",0.251,0.242666666666667,0.234333333333333,0.226,0.217666666666667,0.209333333333333,0.201,0.172733333333333,0.144466666666667,0.1162,0.0879333333333333,0.0596666666666666,0.0314,0.0279,0.0244,0.0209,0.0174,0.0139,0.0104,0.0142,0.018,0.0218,0.0256,0.0294,0.0332,0.0502,0.0672,0.0842,0.1012,0.1182,0.1352,0.156083333333333,0.176966666666667,0.19785,0.218733333333333,0.239616666666667,0.2605,0.2726,0.2847,0.2968,0.3089,0.321,0.3331
"CycB_3",0.1334,0.111166666666667,0.0889333333333333,0.0667,0.0444666666666667,0.0222333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
